<FITC-A>: pMEK (S221)	<Alexa Fluor 700-A>: CD8	<PE-Gr-A>: ppERK	<Pacific Blue-A>: CTV-OT1
13647.3623	1919.19592	2338.08154	4286.04443
13422.8154	1851.26416	2082.34106	5722.18066
1321.54272	913.517151	512.222839	3870.51514
2045.77173	1193.09912	1553.32019	1015.67737
1948.7937	268.859985	50.3393517	2100.31885
15391.7471	3317.45752	3115.30396	2213.15039
5256.79102	292.45929	652.392944	781.908691
13699.0859	2401.79468	2539.74951	6361.75391
6784.31006	473.548462	1232.73376	4753.86133
6776.48633	491.692108	76.4035721	6523.54736
5744.16602	2213.35474	90.6583252	5424.25098
6596.82764	553.327759	329.982208	3712.64258
2817.13257	3001.42554	93.6426163	3379.51929
7461.90137	1350.61255	127.26709	6945.63477
12124.0654	1067.12134	3234.4541	4705.56104
8189.20215	1348.75256	1620.60156	3303.06396
10499.3994	1853.90271	3153.18237	7106.72217
9494.04297	725.295837	758.744141	5609.11133
9983.1084	302.781097	1028.59082	2978.9519
3413.80981	315.494232	8.16546726	3534.87378
1686.03796	1445.99341	522.949219	4300.52686
436.798157	129.135025	-14.9174013	2147.38867
2294.59326	500.895813	376.23819	6755.52832
11790.4785	676.152893	576.527161	4608.68701
547.908203	182.27092	3.56374741	6481.75586
7902.92773	717.307434	1306.95935	6548.06689
11347.127	1616.53467	268.876373	2657.27441
14178.8662	1103.01978	3868.34644	7055.5625
669.03833	415.672211	89.5641937	2302.70825
4537.56299	1654.01978	57.5240936	7477.76025
2755.09741	1118.73999	25.9785442	7377.44141
3175.69946	1451.81946	98.8372269	11145.6299
21505.9121	1738.09045	2344.47266	4924.01611
5964.83838	1573.03101	713.348999	1029.60107
16933.5781	1746.8219	1362.18738	494.516571
19565.7344	3525.89771	1185.90344	19017.6035
1506.42261	376.451294	-11.4748573	10470.7822
9636.93652	2320.27026	2242.7312	5367.14355
947.440063	715.30365	70.605957	13118.4473
22947.3555	1634.33838	2730.36719	5153.10303
15444.4463	1534.06799	2689.75391	7809.30859
8812.40527	577.238342	118.299095	3212.48901
10394.6006	829.837708	787.992676	1998.76733
2276.31104	1489.31458	54.4003639	490.123291
1572.1842	146.358215	34.6440392	5943.10693
2502.10352	804.19519	84.6702576	1581.44885
2684.97681	950.591919	83.3863907	5417.89014
1711.14075	2459.36914	86.4760742	3040.04028
2235.54614	1555.50818	46.0425911	4302.19727
-110.325081	30.149147	-18.8213215	979.373169
-110.36409	45.7295265	-34.4015312	2073.45166
1810.30151	1289.13672	60.3385887	9623.33398
1133.9198	47.1059914	-24.9149532	2648.42676
1192.08582	234.170624	338.560455	3459.26416
1.52711034e5	1316.06592	185.439087	8078.01611
15222.0957	1622.83508	793.543518	10543.2676
6458.18848	749.326904	435.400085	7746.05859
48180.375	2095.88647	579.786377	4683.87354
10880.6514	1530.0752	11121.4482	3352.71191
4629.92822	300.616638	141.113434	567.708984
8738.47266	2235.74438	1719.15808	11867.6973
977.326355	1241.35913	117.920364	8125.84814
584.833923	673.134094	154.758469	4397.4668
2545.20386	2278.53174	524.038879	1500.80579
585.713501	296.895355	47.824295	2723.5896
1755.37122	1865.78418	207.563522	5342.46973
3285.97607	1197.73755	67.5778198	15233.6572
4637.92188	1706.86548	442.546906	2841.22656
5469.20166	648.781982	76.7817535	8670.12598
7097.05713	1209.23499	1383.47852	1549.30811
-110.489098	1068.0918	48.6602783	2739.64209
-110.345024	672.782959	4.28125811	5268.24902
7443.08203	1007.25098	1616.61072	4899.91162
10355.2598	2584.53369	2412.13159	7612.31934
6684.71045	491.718994	535.594849	4000.34863
23800.8066	4241.14746	477.09494	10828.501
7624.26807	1782.13379	797.66803	9551.50684
3593.20996	1231.20996	140.670609	4159.49658
-110.459915	668.8349	68.0227585	6449.52539
-110.544167	330.633942	-58.2553635	5666.19141
12391.9014	1966.57153	2589.09058	6314.42676
14446.5205	1801.34668	5332.3999	4506.32959
1601.69495	346.109741	-31.7447948	457.817108
1878.8667	1943.11548	6.20899963	1028.21924
8202.21094	1442.11218	308.769623	844.193176
-110.557655	239.356827	-69.1603012	1300.27905
-85.9422531	460.349121	42.3635597	908.494568
-110.497093	774.787659	37.0209084	1368.88452
10039.0684	1152.66992	2060.51636	961.840088
3948.5835	1436.92249	69.7540131	921.577209
6780.29102	1110.62903	200.39325	885.559265
3376.64404	696.282227	840.31073	521.647583
7498.44141	1067.07336	352.179443	1509.06787
2122.08423	935.850098	116.716507	616.473206
9487.95117	744.131531	344.82666	1007.1358
11443.5645	723.15387	1037.58386	2999.36426
2958.3833	374.873962	342.868805	1819.67114
12513.3477	1782.14856	1697.40698	1691.0658
21933.0566	1340.35352	622.981873	937.908875
18117.8965	2156.11255	3184.78711	4779.25732
6400.09424	1412.8092	1939.07654	2969.18188
5992.19287	494.559113	131.848312	885.020081
4486.18164	138.888947	128.666946	2680.23877
8015.3584	2581.60962	1844.3573	3241.85938
1280.35742	423.744751	64.9774628	2160.43799
7242.6543	383.573914	205.702438	480.263336
9786.46387	1547.27979	3087.2998	4205.69971
28479.3691	1914.42334	1262.84045	5708.86133
6632.69482	962.168579	459.979919	3095.95874
1201.82251	474.508942	96.9107971	3086.57861
8720.71777	1947.24597	1051.19934	1772.89404
10470.8721	1154.93896	903.151733	5859.2124
18708.6191	1670.82178	2172.44531	7498.50537
16201.375	1858.99854	2159.34717	10596.5479
16495.502	1674.01782	3113.05273	1867.48376
6625.39844	462.471832	106.617279	876.015137
308.018646	238.939819	-48.7785263	2924.79932
2103.6582	870.639465	53.1303291	3579.9187
3410.39844	363.741089	-2.90284252	3054.48071
9509.27832	1463.4967	1443.59631	3952.69873
5228.00635	1169.37488	1169.1709	2475.33008
6722.00391	499.589905	627.755249	10328.2666
14532.1797	871.747559	252.404221	1484.08801
5626.26807	440.801239	94.8843307	1321.74695
4145.38916	1111.20459	465.403809	4065.8667
6305.10645	1167.96155	55.0630875	7528.72266
11203.0312	2249.76367	1970.96838	3702.46753
2709.4314	1177.7887	30.6891747	9723.85645
9353.44141	684.598633	190.875046	1583.15808
3909.22314	702.840027	1090.93921	1151.12451
8192.35059	1972.2262	195.241623	6665.62549
25324.1055	4718.2168	9534.14062	9205.44629
4868.79736	1135.60864	1425.14038	2905.98315
5453.24121	807.341797	144.516602	4950.51904
4432.53418	877.029175	102.84742	7483.97754
5331.9248	689.725098	141.418732	5675.30127
8965.00781	1240.91431	1767.89221	3744.24731
12345.5078	1601.37878	2951.49951	3547.89917
12231.8223	5155.20557	1705.72131	13106.6553
4337.1665	960.771179	421.481323	1560.28369
10377.0557	1305.39941	993.988647	2611.01953
31595.6953	2555.67456	1613.44556	5136.87305
13653.7598	686.756836	2230.67749	1911.58008
5390.23682	2696.87036	1069.57861	5733.62012
8454.19824	1175.45569	211.399902	1672.46118
24961.5996	1981.98279	1868.68054	2342.04907
5403.11621	1536.39294	987.044739	1307.67834
681.669556	230.807053	90.8845062	2185.81567
7692.99414	1254.91345	703.640137	3981.19946
40132.1875	1406.05273	839.453125	2744.427
13167.3047	337.915802	1595.81848	3106.41748
1598.25391	411.742889	69.9096451	2510.10205
12413.7822	2214.85669	664.039856	2726.87939
13277.5703	1646.85327	288.878632	3847.07495
3489.33447	246.809448	109.718033	2521.08081
6758.06055	776.83374	1062.97107	2725.55762
5534.28271	1184.58997	740.724609	979.913696
8119.86768	2258.05615	1247.32983	1969.0415
615.400818	2493.75977	75.1521072	6848.01514
5418.98926	437.625061	44.7428627	6466.62598
10039.9717	1948.77295	696.311646	5022.68164
5760.81641	419.676117	149.201385	1764.49146
14781.373	1549.78979	1052.49023	11851.4229
21053.6484	1370.46838	453.818329	4523.08838
5310.30322	2357.50244	796.455139	4263.16504
18402.0449	2812.37036	2814.44971	9861.53613
13987.5381	1152.64526	1382.98328	7880.07959
22267.2266	1924.47058	469.582855	6090.04932
11614.8447	599.862976	273.834717	1278.32959
13071.1201	731.252136	761.839966	473.412842
5423.04639	1582.77051	1284.35889	1963.7312
16813.4297	1425.44568	1013.2984	6867.44141
14330.2842	648.249451	1442.12646	2380.59155
13438.3252	2217.14795	386.319061	2344.9502
11059.4785	488.728485	637.564575	738.758667
21699.2578	1996.69409	2637.23608	9787.2666
680.008972	511.179199	-44.0592194	5640.48535
1781.73975	2505.65674	88.9484253	9157.83887
5654.41943	981.777222	1483.02722	1235.59204
21589.752	1261.86841	1268.53333	463.739655
7943.76953	1676.82251	555.327942	5790.90527
15693.5869	3011.7876	1859.89575	7445.62207
6946.93115	958.109436	336.730988	479.935577
14808.8555	1386.02161	459.089417	11838.5254
4120.5708	487.671478	61.232029	13778.8867
7389.21729	3165.32471	2067.84424	7642.94482
2943.58105	980.985291	97.548378	1730.09668
11862.8398	1459.93542	3112.46753	1023.87579
4280.51465	2427.7561	446.489014	1822.91992
14631.2217	2260.66821	2195.38574	4335.24756
10653.3281	2082.99683	1606.59387	12144.3525
3736.96558	1810.92944	1493.16418	6836.14355
10707.5625	1401.80554	1349.84192	12188.8682
16913.5273	1023.38531	294.571594	7002.71777
3540.81274	2116.61426	148.40741	1226.66858
3469.91309	1227.71826	-7.61665583	28480.5273
13530.1514	2674.95972	3140.04028	7341.14551
6747.93701	738.56604	120.129997	853.563782
7805.51562	882.590393	2801.39233	2891.23657
3909.5415	1269.96667	124.782944	5329.62646
3013.74878	956.292114	1135.24011	687.435242
4645.69336	3147.97363	66.9904785	7457.80469
8137.65625	417.160248	989.919556	706.450195
792.889038	1200.9989	79.0725708	1575.38843
2446.64282	502.638916	43.7253189	6743.61328
13667.5557	844.655579	775.585693	3059.27759
12281.3496	753.345398	2286.93604	8209.94629
21115.3301	2341.09839	1662.66064	9285.30566
5638.03906	1428.78296	111.671852	8674.96484
14561.1123	1943.25818	4022.09253	2828.7876
9141.77832	2265.39355	146.272583	6497.43164
17676.8242	1756.69421	2513.63086	906.26825
10078.8545	3114.67944	758.0896	10323.8838
6115.46143	1601.01355	385.731415	9074.52734
16750.252	2355.67407	387.262848	10768.6641
23492.7598	2740.6853	2128.11279	9244.21289
13127.6895	1508.76904	4386.81934	7228.21631
-110.37281	371.752869	-44.5296745	470.388641
723.297546	758.511108	300.433777	10438.8301
52091.0625	1843.83984	1598.5647	11002.1816
637.81543	532.620483	27.3238716	7370.56104
12246.5088	2632.7478	880.297241	4736.83838
10628.6416	951.309448	2019.31116	3330.38818
5226.4751	1215.13574	763.282288	5571.33936
3255.77832	779.508789	73.7134857	2657.2998
14100.2178	1355.72009	274.959717	2621.45605
6410.80078	555.686218	73.4035263	4935.2749
-53.1968536	151.917145	-15.0952768	5058.70752
663.075928	199.281006	52.6504364	1357.25562
374.420166	1802.72913	9.81234455	27781.6309
548.574768	204.985291	147.357346	6115.43555
16986.8242	1407.50964	502.13092	12135.1885
-110.441589	557.091248	29.1071434	2287.98291
-110.379341	42.4778862	18.2751732	2964.71777
-110.525833	625.06488	51.4800758	6995.75732
3966.01978	639.645752	319.178253	2705.896
16164.3281	2449.5293	205.78511	12229.4141
-110.553406	504.517883	29.3844719	393.397552
-110.576057	339.811829	46.2881241	3774.10791
494.238525	428.909363	84.152298	4819.89795
7312.10645	446.116272	484.057434	5131.81787
-30.9315681	70.0395813	67.7668228	2328.91992
730.08374	2583.70166	28.7992344	10397.5654
7904.47949	1111.02661	1207.27869	2828.7876
2645.29028	59.2771988	-12.500392	5232.07861
15368.04	2417.10059	1516.58496	2339.03125
11344.3252	554.736938	1569.60193	1948.2135
11108.4102	934.075623	1312.4303	1703.07312
2908.00098	478.408295	546.163208	1124.80493
11783.2275	1128.68506	2047.07214	2974.14941
14132.8506	1539.4707	279.250854	2326.05591
32533.6172	1931.59155	1345.46436	2278.08838
9737.92871	1208.50586	202.966721	1826.47205
16502.2617	1816.07593	1992.75415	2245.06909
3397.24121	397.167969	35.9963417	3758.58594
1751.31995	244.675186	175.059311	1958.66321
6180.56836	1314.35474	1260.38147	1200.76331
8408.80273	1637.23962	3396.86768	1182.52466
29627.7871	1540.44556	1733.55103	1445.22656
3952.45972	493.559845	106.540237	3286.98218
30364.3672	1759.18823	631.732544	4365.93799
43024.7031	7147.43799	3461.65015	1624.61511
17677.7031	3555.58862	889.907654	8467.1416
27134.3848	3061.7356	4907.62842	3502.20947
2323.11035	765.339417	62.815937	800.776794
12092.7988	2292.625	3451.25171	2558.854
9411.84668	843.286194	702.751343	4715.80566
11459.0225	1123.74292	1921.48157	2066.14526
14540.9922	1476.70056	2493.88647	1623.61963
4969.52783	970.612122	2304.75488	2751.80225
7254.52148	586.849548	150.045761	2060.02515
8165.26465	1951.54834	1041.75085	2215.95825
7976.43164	2819.77612	2854.6228	6526.13037
4890.99854	691.392944	812.469482	5632.33447
9665.64551	853.835327	153.170731	2505.80933
8672.12109	2450.13281	2388.15918	3147.37305
4906.45361	823.4646	616.375	661.800964
35974.8008	2497.35205	5784.25195	5350.35059
14605.8652	2127.48169	926.53479	2679.4917
1127.04541	4745.69238	260.120758	6081.06885
18453.9785	5158.83154	8757.39453	3764.12305
12754.8633	829.100464	2123.47729	1646.24036
14427.668	660.434387	1600.11938	3120.01123
13439.5938	1016.83978	1708.08899	1440.06433
5857.06299	4286.18701	180.120911	13462.9248
11080.0195	1914.25793	1653.56384	1459.49194
34394.6406	5860.27637	1078.18054	5956.62256
21996.416	1837.1311	1015.66919	1005.0025
11718.6045	703.715576	3147.95288	1001.88116
7229.30566	3965.06689	710.432983	6536.7334
2852.75854	163.188858	247.181839	1309.26892
15412.4141	3423.67188	2371.15405	4150.23975
18186.0605	1641.75146	289.350098	7202.82812
29462.8789	1165.09412	2909.20654	1948.54565
6271.77979	501.030334	532.151306	1823.21851
15793.9902	1295.29626	1530.94214	1211.94739
6923.26953	1072.83569	216.814514	4377.73389
24761.4766	1664.44666	3264.35889	2201.51587
9411.27051	1315.58594	1878.74902	2475.72168
17117.7539	1228.42139	864.306213	776.376648
1985.73657	1579.60815	471.004181	2074.13599
4410.64648	521.740906	217.878311	432.999268
17831.1387	7232.08496	1394.22913	6319.33301
7620.72363	508.85318	415.967896	543.635498
49731.4453	7673.97852	6138.90137	3758.95947
7359.07568	1032.08948	270.494141	2191.22729
5742.70508	461.353821	520.259644	984.077148
8281.11133	2692.26636	527.220093	1117.1322
5576.86768	1048.63171	970.867432	5645.63184
13524.7402	1307.48889	618.19397	2862.78784
28134.4727	2377.77661	6091.33105	1417.90991
6106.75977	955.985229	1146.50403	4043.90991
3870.84668	578.751465	719.419739	447.157837
17195.1387	935.290649	564.736511	1283.75476
4469.98242	346.637878	655.830566	1228.97913
7882.34375	1406.052	202.282578	3637.4353
107.810547	543.787842	-29.1330757	3802.92188
11405.3857	1288.23706	645.361023	9207.98242
29432.3086	2157.37866	3565.99902	11706.0127
8065.18311	1218.14099	91.0304489	8264.28711
25974.834	1103.36279	997.862244	5141.70557
7925.65283	4783.03027	592.004456	13902.2373
11992.4414	1578.37781	1625.01746	9128.67578
6453.64111	319.67981	668.310364	1037.75891
20394.9238	1362.84717	1606.3363	7496.34326
20782.918	2909.42261	1956.08081	21945.5195
11040.3818	849.814941	1107.58374	7518.34619
23388.6582	1705.59375	2645.22681	6064.06543
6897.9707	2371.96143	2153.19653	662.482788
10726.2393	1117.84045	2794.97412	713.884644
2762.26782	1309.27197	991.599365	1130.19287
21737.2949	2615.45483	4252.50391	9425.81934
35764.0039	2484.48608	1875.43115	2235.89893
14101.2637	1027.6499	947.825623	3214.4519
13752.6719	1697.76892	1087.02356	1291.94873
2625.36255	933.686523	-62.52808	12767.3633
-110.56411	1182.25671	-34.0793648	11337.0957
1013.51062	490.728607	204.4077	963.038025
11973.8701	8394.89941	989.72052	1369.802
7475.85449	648.935364	108.587296	5123.33936
40160.8984	1859.79895	2068.21997	2922.06274
11220.7451	1352.5332	2011.03369	7972.80469
8044.94727	937.130981	126.354713	2649.39893
21237.127	1312.94348	1947.81909	3371.33838
20141.1133	2372.4519	6303.78955	4351.88721
12119.4922	645.480408	402.191345	1445.54688
6605.62158	865.206421	218.856079	1836.0105
9487.77148	1490.58313	164.46489	4047.5791
3329.42334	484.804413	318.978424	4118.7666
10849.8379	838.126343	40.2615089	7231.41455
10847.2666	4121.19385	1128.09888	5578.86914
15086.5156	959.251282	1220.91052	4238.64844
5001.01562	1459.86267	1107.20386	5772.31689
14958.5361	957.981445	249.473068	432.779541
19061.8691	2476.84131	3195.70728	7304.13916
10647.8926	576.94635	103.775299	1852.11536
3690.68701	743.664734	209.731445	1380.4209
3219.34961	968.519958	679.703247	1682.31787
